name,city,median_income,pct_bachelors_plus,pct_age_20_40,rent_index,rent_yoy_growth,independent_coffee_count_2mi,chain_coffee_count_2mi,transit_score,university_score,coworking_score,latte_price_12oz
Neighborhood 012,San Diego,96724.58971758885,74.47839812820081,54.0005907516399,109.34130359748583,0.07980430210174833,3,2,52.61106233619899,76.04057315559957,62.87848915205994,6.66
Neighborhood 013,San Jose,77575.7961823613,88.34694633402363,59.18094236750054,126.67483178702626,0.07016026962513458,11,3,48.99366314100635,72.54890424656739,56.40064687627949,6.73
Neighborhood 014,Sacramento,66009.42085014471,64.98989444879712,62.100312162892706,104.99186290385248,0.08132324073415934,9,3,78.45496512160784,65.71564179716268,82.73904620705522,5.77
Neighborhood 015,San Jose,79991.43642085463,79.39742144391619,47.79594965183629,133.78064189160472,0.02455216801638173,8,6,42.64114067834309,46.3601383465601,69.27268851910696,6.95
Neighborhood 016,Sacramento,101413.28667274912,71.31520951430592,58.92608790090383,91.14867606173847,0.06546918575493581,7,3,82.17746657190769,38.81541188137385,45.738499757935514,6.3
Neighborhood 017,Oakland,107021.39266679449,82.10283450004593,68.30272413305893,138.28152779079832,0.026017023483229013,7,4,71.71563927220392,67.23538117062988,63.66783851059976,7.39
Neighborhood 018,Berkeley,65408.55188714297,92.48918226851345,54.69756776453165,140.51262926059934,0.0669737349801561,6,3,62.07510593330513,71.18101060317802,56.52825691318469,6.47
Neighborhood 019,Sacramento,92363.26658833702,50.062456660512595,43.92469370347668,80.21377523068615,0.034278053285176135,7,1,63.22298634955849,76.56454601224915,58.53977321807753,5.84
Neighborhood 020,Long Beach,80928.3950692177,56.675171386914855,50.783063023864436,110.70379974310684,0.07733671322084752,5,3,59.19319713951734,33.74445659678558,49.59003412637422,6.06
Neighborhood 021,Oakland,92550.57922689033,84.95795802054234,61.53345297750191,143.847939866338,0.07781724634372661,9,2,56.29206760679183,63.79526670712859,59.43792012864601,7.1
Neighborhood 022,Santa Cruz,81832.83671670833,63.69389256021928,40.489115948060956,111.5913906441247,0.07419239227875826,4,6,52.496741286291154,56.314103122520834,95.86743217234165,6.31
Neighborhood 023,Berkeley,117815.00309248641,92.82368160355887,62.065439667308574,134.3186016672877,0.010775640146280074,8,2,78.02656550558179,28.83469048412777,55.55149684633895,7.91
Neighborhood 024,San Diego,70869.14837681912,86.27476006832518,60.266294873801804,109.36623720058252,0.04474883153307722,9,0,75.44967346028098,60.80361407224895,68.55656425351197,6.2
Neighborhood 025,Sacramento,93319.41571774767,82.66043252861593,46.20895336244011,87.34765213142528,0.012427227834584567,4,3,53.10653484890051,44.125844255489625,63.58267530900394,6.48
Neighborhood 026,San Jose,110924.5926371157,75.15105814144032,64.03468862513495,111.26887634119434,0.04939417258927866,7,5,91.82087963277282,55.43230492105482,56.700834943315925,6.86
Neighborhood 027,Long Beach,74798.32261191029,58.79975391159032,50.778418807383574,114.15183542017513,0.02085532544226633,5,4,68.74442974489257,36.80549384322043,61.4078074997242,6.18
Neighborhood 028,Sacramento,99456.60540017039,79.23154986553489,51.232378659879245,102.36145205406888,0.08377803863260933,11,3,49.02716951785002,44.575081083704916,49.96176222002425,6.45
Neighborhood 029,Oakland,98583.23607749175,66.02534146322084,62.60787282030567,121.06953335173219,0.044202032870778826,6,1,69.26331333905915,32.17278016281691,66.0485100656029,7.0
Neighborhood 030,Long Beach,71293.1148963527,76.4243812283416,58.69151165173726,107.63227838328523,0.03328241842462701,2,2,59.1985718340233,45.590510200108234,77.82699695724678,6.56
Neighborhood 031,Long Beach,55471.07536698714,84.49843295510705,74.84529566824902,110.136768814608,0.06943172108931907,5,5,63.89596142710974,64.0746218054341,34.520597522898946,5.91
Neighborhood 032,Berkeley,92283.50470752064,100.0,56.7807908633653,155.01465133343424,0.02203024982037967,2,6,62.69190873603341,60.33142014566782,36.370868975782756,6.85
Neighborhood 033,San Francisco,121498.93569735737,83.29553173447287,44.04678960725603,164.41812843929762,0.06375678816620726,7,9,78.68962065414787,87.17073992534118,56.82623309590979,7.72
Neighborhood 034,Oakland,99597.0811341772,79.7881464998839,65.66437557197924,100.97867251257144,0.03912123551655286,3,3,54.07023535674615,56.77481825815647,74.4884307001789,6.97
Neighborhood 035,San Diego,79051.95162509973,79.02694063346802,52.449247189884396,125.7698162885137,0.08597247105823985,0,2,63.43171982764213,32.713963366125654,37.311308729838366,6.58
Neighborhood 036,San Francisco,109836.66664894832,78.79947746517404,61.326747441536675,168.53622628819164,0.09983302167254776,6,3,66.94794810885858,65.20658707618328,65.46366718867152,7.75
Neighborhood 037,Sacramento,92048.11594722258,53.42115205047407,37.26912011261401,110.02094477181808,0.11295505206216391,3,5,60.80882355337693,33.92877769688131,85.93257911208602,6.43
Neighborhood 038,Sacramento,96654.681569776,59.71234641971785,58.98513527008095,105.67551691397482,0.10985449857902471,4,1,65.4034529289267,42.18854474071575,39.332226593039714,6.55
Neighborhood 039,Santa Cruz,117705.93477239987,90.2329854026605,56.78649391799112,141.20750145143188,0.06784336317274399,4,1,65.2432452337183,88.55610099960353,72.01898659918774,7.89
Neighborhood 040,San Jose,105483.02233721517,80.39791140293778,54.57960210643117,127.01087363134056,0.11061993334815196,6,4,54.39561407170328,63.20288828550643,66.30992048111229,7.28
Neighborhood 041,Berkeley,113149.71510478915,90.80994209121945,49.29055884797391,131.17072083586922,0.014644645402724664,5,5,84.05332327899754,40.882568770782825,30.616837714412565,7.7
Neighborhood 042,Sacramento,81157.53925207337,68.27825550229429,52.17672401202415,112.57027794714202,0.05660104051039524,7,2,87.26072256877364,52.84037658572325,81.80167437381513,6.31
Neighborhood 043,San Jose,103834.80956464601,83.28927025378552,78.25197575557274,150.21542689813748,0.05119481506283157,7,4,50.092410373287066,55.948597610543715,62.17573404640236,7.69
Neighborhood 044,Santa Cruz,105134.44600735165,65.92042350266183,52.151393758592086,117.981510380804,-0.0075509953247896305,6,8,69.66700000602448,78.60905281563602,53.46124786464685,6.73
Neighborhood 045,San Francisco,90894.09992345475,80.5026694948359,58.095897787533495,150.0993364729433,0.05394732456559499,9,3,53.875802660357266,61.45855245790686,48.182567195537246,6.92
Neighborhood 046,San Diego,97358.46620021688,79.00023879785113,49.64482609822019,129.8488617405568,0.10035922606641531,6,7,66.86855945548201,54.70830024784929,65.47653692362424,7.26
Neighborhood 047,Long Beach,112313.5159664466,72.7865807371825,61.126828202249214,101.18962588977318,-0.0449523847564435,2,5,69.63009508319628,0.24930123465003362,64.1104003093907,6.93
Neighborhood 048,San Diego,67671.51229632414,78.06591740846886,57.34270536086757,104.05085463832083,0.09313073271562303,6,3,49.58310017358122,49.99502271586518,48.80931068403589,6.14
Neighborhood 049,San Jose,102484.56623859357,77.45483825767187,55.25672648564196,142.677464220874,0.09811666828259179,10,2,71.37248185995435,51.552844329531965,54.240937777854974,7.2
Neighborhood 050,Sacramento,101459.84314943923,84.14933049140323,62.20365510054133,96.68318982043779,0.04437765768729251,9,3,68.94611124150074,29.97336443559339,77.44226707660742,6.58
Neighborhood 051,Sacramento,57578.665195407426,58.59460661372328,45.85268387525175,98.62607982389041,0.07395483337637213,5,6,78.65161271265346,55.849950868542614,50.2449449164434,5.41
Neighborhood 052,Berkeley,90359.1530774596,91.98746613700986,64.90295421872537,128.30674384812693,0.056805865673258335,16,3,72.13672181834279,59.03366812148368,80.60670254040441,7.25
Neighborhood 053,Santa Cruz,109351.28401050948,72.2006959180828,54.57823707519099,112.13644937251738,0.07081187176836656,7,5,64.38502823904349,63.98670013107074,60.36683077151943,7.02
Neighborhood 054,Long Beach,83533.33572042664,57.417013061810344,46.19462358234543,122.83893859937471,0.023825580866203386,9,4,71.83592688015803,33.24792185815322,68.5601241960342,5.89
Neighborhood 055,Long Beach,78125.60762824923,81.73208561027279,62.88154113885938,132.84877947623033,0.05897472760454335,6,2,65.63730260222763,39.503359910878686,55.44838892955206,6.56
Neighborhood 056,San Francisco,110967.82818928067,100.0,61.31087798384484,152.07324667787194,0.06497262261358289,11,2,69.37433458325083,72.62187964575223,69.87322077238466,8.13
Neighborhood 057,Oakland,109466.61170538468,91.27175862837458,60.28840481890096,139.55189086984208,0.06489359440774428,8,7,62.07700051631841,37.1143280506107,33.08617421484627,7.41
Neighborhood 058,Berkeley,83780.07223458363,91.23634521504191,46.79855905669566,125.8563065002769,0.06280037650800742,7,3,65.10814523066698,89.37202003081894,74.35515079381183,6.25
Neighborhood 059,San Jose,112501.70536991722,97.40414136669368,69.72339220548119,125.26400143013004,0.09860277163214215,5,3,56.84588445609269,98.0693917909691,65.16515499659776,7.89
Neighborhood 060,San Jose,95152.91544633507,78.32638990532556,51.005122130407514,108.17949998096958,0.08878621111848499,4,4,73.68741145031206,70.11685621333822,52.9269379087283,6.73
Neighborhood 061,San Diego,99726.62862004766,69.05402640982925,46.14062097410304,103.79046001722074,0.05303551864629097,7,3,59.58828194533143,73.4077106241797,60.151812764715245,6.49
Neighborhood 062,San Jose,76692.24396315095,78.45591940805286,45.08431735286074,151.60759083011328,0.046918286554626376,7,3,62.03410811204064,56.107940924071514,59.38301568981491,6.58
Neighborhood 063,Santa Cruz,102769.14148414455,83.85224105020528,59.154882864338965,143.44358784701174,0.007076922154041314,4,2,63.58365046274694,77.68513429341479,29.111384262864238,7.51
Neighborhood 064,San Diego,102941.74117307684,74.54421603305632,55.75312410182532,102.08324676017742,-0.009021255299536249,7,7,73.33124526028477,68.16939125880629,55.684563767483226,6.55
Neighborhood 065,Long Beach,75300.13923596655,81.09611740692426,37.55404003489999,110.82971905367775,0.09352398818775032,6,4,65.33302646180947,24.868081783882708,61.95278040500513,6.38
Neighborhood 066,Santa Cruz,97601.0735289621,63.699921922391475,54.13333493969238,133.9043468357539,0.07730530411164069,6,5,59.879415296645504,37.61685364801275,91.8378219092611,6.94
Neighborhood 067,San Diego,81548.00466037093,82.24337272051639,53.23598393907066,114.96542264418602,0.07670843357086117,5,5,45.16149076149221,70.11600090741841,53.88438864800415,6.47
Neighborhood 068,Santa Cruz,77722.16925718792,89.95767960164493,63.71944472120311,136.51508630900088,0.0473426392896097,13,2,53.16118568491292,62.25521689641771,46.67847131784987,6.76
Neighborhood 069,San Francisco,135433.5108783805,83.11697961899358,65.23548742307437,132.54538260726815,0.07623615931543286,7,1,77.5360473395409,64.80632330187602,72.37447397964256,7.85
Neighborhood 070,Long Beach,96434.79735508053,66.23036130467466,72.60812288986683,96.184835002834,0.09213452239184376,6,3,67.77577061433703,36.59401478352878,70.29197887338972,6.7
Neighborhood 071,Sacramento,89915.233398269,74.70949015872485,51.103503088895344,86.85212999443304,0.06810121189450605,6,2,47.71177484029693,78.09669868246615,55.23361275923453,5.98
Neighborhood 072,Berkeley,130310.91708634357,100.0,55.8540406509906,127.88135778155569,0.07009752639225575,12,5,45.588534644727424,63.770736470047574,76.00061490391235,7.48
Neighborhood 073,Long Beach,57604.193397270064,68.28315585698905,55.86040702357175,140.15198500270526,0.04582379542003341,7,3,67.74489155943591,41.90672441254206,58.43240614544094,6.2
Neighborhood 074,Berkeley,82746.18142393556,88.8174673254772,50.27207955239837,138.87356956911898,0.020030205546269206,9,3,73.37754055570635,77.92089437965822,32.285466299541966,6.92
Neighborhood 075,San Jose,104944.07807520605,73.5661109429224,65.1841768355394,136.2179073213773,0.044092059381898474,8,6,55.88686696229759,70.48601268961538,37.377132278213075,7.28
Neighborhood 076,Long Beach,110479.16105415471,67.65190159299235,62.87945823592958,117.84346466463094,0.04564886675641565,6,1,58.61934380957304,46.421547305943946,39.48720975957828,7.09
Neighborhood 077,Santa Cruz,83299.45320636663,84.94379933785727,60.663849176931706,123.2502745029342,0.09836342759236529,8,4,48.75680864082043,33.476992620571025,59.91193005818962,6.55
Neighborhood 078,Berkeley,66751.37680539794,95.11153921821422,66.3273540370135,133.16368948552545,0.10843619428014109,7,8,53.98887477146137,60.811172408347474,76.10765748727424,6.69
Neighborhood 079,Oakland,75295.30890917599,79.18880102509718,68.50684767107083,134.0969492623888,0.10366519729526338,8,3,73.368830930231,58.638034519901495,70.46596683659449,6.56
Neighborhood 080,San Jose,104693.89564875454,90.18847059572761,39.589914743479255,159.08542757499228,0.06842493488016238,5,9,75.18072813486455,30.142094961486144,61.74841077664464,7.34
Neighborhood 081,San Diego,108173.53406211437,72.39210347887499,49.14103007198034,111.92076764834556,0.06272038791897797,11,3,65.98399227698106,59.67520561309483,49.41847389621239,6.77
Neighborhood 082,Long Beach,66877.266746126,71.21611106681274,60.15014471395283,112.27096704827338,0.060258134935685936,5,3,73.2825639119451,43.31030834849156,62.22126585192625,6.44
Neighborhood 083,Berkeley,109972.79240129839,87.18669795603299,46.99230224998291,118.41661162363641,0.0022279078883474385,7,7,79.0990603175048,58.84883699951406,52.116557360559234,6.71
Neighborhood 084,Sacramento,89723.87007152963,66.98148431243993,45.91121304028287,99.51916052333232,0.0311840935349635,4,1,87.47535432879893,72.4923857095636,58.616455894936166,6.32
Neighborhood 085,San Jose,94590.1877062015,80.65947783127126,56.26266262637719,138.90954884448846,0.08141457060321365,8,3,75.45473613936439,43.05626658728286,52.92205080071453,6.62
Neighborhood 086,San Jose,95115.53612377812,88.0357023469066,50.57842956940623,132.57264136890365,0.09726380877412898,7,3,54.777352725219046,54.40288118663541,43.9659421425903,6.94
Neighborhood 087,San Francisco,101901.45047615482,100.0,58.84030884324923,155.86421170300463,0.08471527194925368,10,5,81.38618259779516,30.34995981951959,63.13933678477469,7.47
Neighborhood 088,Santa Cruz,89289.29581214572,61.330543301389184,52.7201132294839,121.07233483693972,0.05363618774482664,7,6,69.48564614388224,56.07189660768672,61.88247720468705,5.99
Neighborhood 089,Sacramento,90050.95143935904,76.39374958692008,56.38787605766069,94.870058499145,0.05972956540582576,11,5,82.13934722859273,35.98754069317182,49.02750932130709,6.41
Neighborhood 090,Sacramento,93055.3563878125,54.52364146914917,43.82792275164192,73.5472579071834,0.09071230193161482,3,3,70.1015368081761,39.745193468857025,54.88887545239366,5.75
Neighborhood 091,Long Beach,94757.27618355736,57.42734148023982,61.589326428199676,101.98467253076512,0.02866903557826623,3,3,76.0632123982334,42.88748221653938,50.12330164013028,5.89
Neighborhood 092,Sacramento,65847.3815542336,51.54444219702648,58.10880152310871,119.70697450499324,0.06538905053734544,3,1,40.30528339034396,57.00125102357955,42.360163787913955,6.03
Neighborhood 093,Sacramento,58893.15908935567,72.88572402029837,60.17158872798683,88.60184165941799,0.0554992181550453,3,3,57.74513113231464,71.48348170073308,65.69111721257312,5.86
Neighborhood 094,Long Beach,97917.47025850794,59.551792392519346,57.226590705089215,116.76786796583764,0.03398326976695076,10,4,64.93877481149252,31.536884052036196,50.58638898776233,6.92
Neighborhood 095,San Diego,103927.1528120194,80.59185028786554,41.965872062867675,113.15689457776799,0.1254288930477046,9,3,56.93406958318977,38.2361480051396,47.0029749916386,6.88
Neighborhood 096,Santa Cruz,94289.76194037401,80.20833908095798,42.56521192560394,117.15244239635693,0.09139632091559992,8,2,69.0606604980491,54.60494898544299,53.47358333153259,6.65
Neighborhood 097,Berkeley,94448.32058660145,89.23972440956656,58.732830209216885,155.3590401956502,0.04631154537945949,4,5,63.32149261430156,65.37086089127591,49.50896104057104,7.58
Neighborhood 098,San Jose,82956.59187370956,83.51652523480007,59.81726283376942,142.7799253308382,0.03406374024156257,9,3,54.06882685741136,78.39811405836973,69.75945800234615,7.2
Neighborhood 099,San Jose,126880.55976360814,85.92917631529573,55.928627190624674,159.08262566746134,0.09178452642755687,7,5,61.66300330695411,80.54843892383838,54.09144507184574,8.24
Neighborhood 100,Berkeley,92193.20622267091,93.0237333813753,63.15785571644036,129.44933140410504,0.08149353439714652,9,3,52.10354266819351,82.6610924827842,100.0,6.78
Neighborhood 101,Sacramento,88913.51389920841,63.564262079939965,40.328506752392286,90.76736764363733,0.017192575031944136,6,1,70.7683272562968,48.67192263878972,52.45985952975134,6.07
Neighborhood 102,Berkeley,70061.5131268602,89.64594289040238,58.39547684395263,119.56643955949451,0.07445621439363456,5,6,72.41383739491589,65.31187151657198,69.0616560854308,6.42
Neighborhood 103,Sacramento,92212.69530486419,68.8513327966193,58.49282101292181,108.44987324439967,0.0653573586204455,6,5,69.0854591846466,61.13417461813317,70.00733262396525,6.07
Neighborhood 104,San Francisco,121601.37514513775,85.66711666616425,62.438888122657,156.2904101606436,0.11427344548004208,8,8,72.18720692475989,75.43347312153914,67.71732767633004,7.99
Neighborhood 105,Sacramento,79420.48565170259,65.01048323144896,71.92789575095571,102.73085179330437,0.06937596939292921,4,3,51.49313256628382,56.2373515292687,65.66342998579856,6.66
Neighborhood 106,Sacramento,69417.6477926374,74.09736357882254,47.79297351033056,91.7415362625634,0.06945127102612239,6,4,51.46900102875546,46.80624484700342,40.21754798594833,5.9
Neighborhood 107,Sacramento,81473.7765000006,72.3292579828729,56.55409916146777,105.23608224112012,0.06459021418956677,7,3,53.22711814469477,34.215391956041785,57.76527698735737,6.54
Neighborhood 108,San Jose,76011.6380603976,78.37723679435419,56.098504580114536,137.41821001074646,0.06905779294402477,9,4,57.00300633608674,57.250167767985204,61.15788775266124,6.58
Neighborhood 109,Long Beach,80160.31912545809,56.629941970920356,57.648756122203025,105.77973208542504,0.06332703236350341,5,4,84.59395336128,36.37736396120053,44.13478299943901,6.03
Neighborhood 110,San Jose,100737.30621271656,71.87744144201038,53.8651874690083,154.75250861180126,0.09225433979684694,6,0,81.38806507860583,38.34152445234618,59.81672165883937,7.3
Neighborhood 111,Santa Cruz,60162.257238293125,87.3040755114501,46.72284599455494,128.9839459214832,0.0864382419036473,7,3,60.7342250137422,63.69462666650119,44.23373846429331,5.95
Neighborhood 112,Sacramento,93467.50616174226,69.14180278666258,31.553540935813228,82.66293964745836,0.04660185050822701,6,5,69.75993818334685,72.74665382585792,74.08781129150604,5.82
Neighborhood 113,Oakland,111509.2222326338,90.34968159596085,77.00762205878812,118.99997916501786,0.09319221929679775,2,5,66.60050975259036,81.03852299331444,63.45988577821956,7.63
Neighborhood 114,Long Beach,93159.38175506987,82.31906168713206,57.39157545092681,120.95344849706541,0.09449022059615966,6,3,38.96630889652336,79.45887015694215,61.12263419670565,7.07
Neighborhood 115,Oakland,82570.4440654653,68.02743274029952,60.82528068898817,127.5967587205263,0.04764690770993061,5,3,76.18082851995803,40.34359288792867,57.33087669314938,6.27
Neighborhood 116,Oakland,116228.40952580384,88.74511313865908,63.56078434450771,135.45921575745166,0.0353801620729692,12,1,61.78654453340851,41.902406639207754,70.84471036736535,7.76
Neighborhood 117,San Francisco,111411.89108627578,86.9669984589827,73.15038462385965,150.74363236448386,0.07100107330718221,13,4,58.550434103094084,39.32289285619463,57.063259760884335,7.65
Neighborhood 118,Berkeley,88731.08449458971,97.29832950393636,54.87751435078816,146.76229046006188,0.06207799797447865,10,6,74.19482475863975,19.91220365498441,34.193288416922215,7.19
Neighborhood 119,Berkeley,119448.46792580775,88.07842920649935,58.70655754214608,148.60547127076813,0.04135143680961122,10,3,65.24316556173795,63.06203685719789,68.24643692807466,7.85
Neighborhood 120,San Francisco,125105.69511778094,95.37408787353772,80.22538409125286,150.486749713285,0.05327742345053851,11,2,67.3446708965611,38.80015723524311,53.41143056250314,8.31
